tconst,primaryTitle,genres,numVotes,averageRating,startYear,SeriesName
tt6958022,The Defiant Ones,"Biography,Crime,Documentary",11586,8.5,2017,The Defiant Ones (2017)
tt6963504,Dave Chappelle,"Comedy,Documentary",2041,8.7,2017,Dave Chappelle (2017)
tt6964748,Alex Rider,"Action,Adventure,Family",8016,7.5,2020,Alex Rider (2020)
tt6965802,OK K.O.! Let's Be Heroes,"Action,Adventure,Animation",1664,7.1,2017,OK K.O.! Let's Be Heroes (2017)
tt6970700,Unauthorized Living,Drama,2937,7.5,2018,Unauthorized Living (2018)
tt6970710,Cocaine Coast,"Crime,Drama,Thriller",3008,8,2018,Cocaine Coast (2018)
tt6980438,Quacks,Comedy,1087,7.8,2017,Quacks (2017)
tt6982604,Sugar Pine 7,"Comedy,Short",1033,8.4,2016,Sugar Pine 7 (2016)
tt6987476,Burden of Truth,Drama,2947,7.3,2018,Burden of Truth (2018)
tt6987788,Nailed It!,Reality-TV,3769,7.4,2018,Nailed It! (2018)
tt6987966,The Jim Jefferies Show,"Comedy,News,Talk-Show",2173,7.1,2017,The Jim Jefferies Show (2017)
tt6994156,Close Enough,"Animation,Comedy,Drama",3730,7.8,2020,Close Enough (2020)
tt7005636,Lykkeland,Drama,1397,7.8,2018,Lykkeland (2018)
tt7008682,Homecoming,"Drama,Mystery,Thriller",20875,7.5,2018,Homecoming (2018)
tt7011370,This Time with Alan Partridge,"Comedy,Talk-Show",2635,8.1,2019,This Time with Alan Partridge (2019)
tt7016936,Killing Eve,"Action,Adventure,Drama",85135,8.3,2018,Killing Eve (2018)
tt7018644,Grown-ish,Comedy,3960,6.4,2018,Grown-ish (2018)
tt7042146,Carmen Sandiego,"Action,Adventure,Animation",4087,7.9,2019,Carmen Sandiego (2019)
tt7043380,Osmosis,"Romance,Sci-Fi",2534,5.9,2019,Osmosis (2019)
tt7048386,The Bronze Garden,"Crime,Drama,Horror",1087,7.9,2017,The Bronze Garden (2017)
tt7049682,Watchmen,"Action,Drama,Mystery",90290,8.1,2019,Watchmen (2019)
tt7052394,Next of Kin,Drama,1056,6.4,2018,Next of Kin (2018)
tt7052634,The Rise of Phoenixes,"Drama,History,Romance",1157,8.6,2018,The Rise of Phoenixes (2018)
tt7053188,Station 19,"Action,Drama,Romance",8188,6.6,2018,Station 19 (2018)
tt7053920,The Toys That Made Us,"Comedy,Documentary,History",4841,8.1,2017,The Toys That Made Us (2017)
tt7059774,Jägarna,"Drama,Thriller",1185,7.3,2018,Jägarna (2018)
tt7076630,Vanity Fair,Drama,3684,7.3,2018,Vanity Fair (2018)
tt7078180,Violet Evergarden,"Animation,Drama,Fantasy",11425,8.4,2018,Violet Evergarden (2018)
tt7078710,Everything Sucks!,"Comedy,Drama",14917,7.5,2018,Everything Sucks! (2018)
tt7082442,Everyone Is Doing Great,Comedy,1291,7.1,2018,Everyone Is Doing Great (2018)
tt7083006,Carter,"Comedy,Crime,Drama",1466,6.6,2018,Carter (2018)
tt7087260,Tales of the City,Drama,6224,7.4,2019,Tales of the City (2019)
tt7088332,Isekai wa smartphone to tomo ni.,"Adventure,Animation,Comedy",1159,6.5,2017,Isekai wa smartphone to tomo ni. (2017)
tt7094780,Mr. Sunshine,"Action,Drama,History",4160,8.8,2018,Mr. Sunshine (2018)
tt7095194,Beat,"Drama,Thriller",2413,7.4,2018,Beat (2018)
tt7099334,A Korean Odyssey,"Comedy,Fantasy,Horror",3023,8.1,2017,A Korean Odyssey (2017)
tt7112704,Yeh Rishta Kya Kehlata Hai,Drama,1269,2.4,2009,Yeh Rishta Kya Kehlata Hai (2009)
tt7115498,Dolunay,"Comedy,Romance",2626,6.7,2017,Dolunay (2017)
tt7115656,Kalp Atisi,"Drama,Romance",1662,6.4,2017,Kalp Atisi (2017)
tt7117634,Mira lo que has hecho,Comedy,1198,7.4,2018,Mira lo que has hecho (2018)
tt7120662,Derry Girls,Comedy,20360,8.4,2018,Derry Girls (2018)
tt7131720,Kakegurui,"Animation,Drama,Mystery",4502,7.2,2017,Kakegurui (2017)
tt7134194,The Truth About the Harry Quebert Affair,"Crime,Drama,Mystery",4834,7.4,2018,The Truth About the Harry Quebert Affair (2018)
tt7134908,Elite,"Crime,Drama,Thriller",47355,7.6,2018,Elite (2018)
tt7137906,When They See Us,"Biography,Crime,Drama",91150,8.9,2019,When They See Us (2019)
tt7146600,Wolf,"Action,Thriller,War",5988,8.2,2018,Wolf (2018)
tt7151584,Karrle Tu Bhi Mohabbat,"Drama,Romance",1020,8.7,2017,Karrle Tu Bhi Mohabbat (2017)
tt7151672,Choufli Hal,Comedy,1326,9.6,2005,Choufli Hal (2005)
tt7155052,Tsuredure Children,"Animation,Comedy,Romance",1043,7.3,2017,Tsuredure Children (2017)
tt7157248,The New Pope,Drama,11807,8.2,2019,The New Pope (2019)
